Term ,High School Name,High School CEEB,City,County,Zip Code,Total Attending SUNY Institutions,Attending SUNY Doctoral Institutions,Attending SUNY Comprehensive Colleges,Attending SUNY Technology Colleges,Attending SUNY Community Colleges,Location 1
Fall 2015,Seward Park High School,334055,New York,New York,10002,<4,0,0,0,<4,"10002 New
York, NY
(40.7161839999999, -73.9857039999999)"
Fall 2010,Seward Park High School,334055,New York,New York,10002,<4,0,0,<4,<4,"10002 New
York, NY
(40.7161839999999, -73.9857039999999)"
Fall 2017,University Neighborhood H S,334101,New York,New York,10002,8,<4,<4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2015,University Neighborhood H S,334101,New York,New York,10002,<4,<4,<4,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2014,University Neighborhood H S,334101,New York,New York,10002,6,4,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2013,University Neighborhood H S,334101,New York,New York,10002,9,<4,<4,0,5,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2012,University Neighborhood H S,334101,New York,New York,10002,4,0,<4,0,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2011,University Neighborhood H S,334101,New York,New York,10002,5,0,<4,<4,<4,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2010,University Neighborhood H S,334101,New York,New York,10002,4,<4,<4,0,0,"New York, NY 10002
(40.71644884800003, -73.98818871299994)"
Fall 2017,Emma Lazarus High School,334106,New York,New York,10002,8,6,<4,<4,0,"New York 100025202, NY
(40.716430794000075, -73.99286064899997)"
Fall 2016,Emma Lazarus High School,334106,New York,New York,10002,8,5,<4,<4,0,"New York 100025202, NY
(40.716430794000075, -73.99286064899997)"
Fall 2014,Emma Lazarus High School,334106,New York,New York,10002,<4,<4,0,0,0,"New York 100025202, NY
(40.716430794000075, -73.99286064899997)"
Fall 2012,Emma Lazarus High School,334106,New York,New York,10002,<4,<4,<4,0,0,"New York 100025202, NY
(40.716430794000075, -73.99286064899997)"
Fall 2017,Cmsp Marte Valle Secondary Sch,333021,New York,New York,10002,<4,<4,0,0,0,"New York, NY 10002
(40.715712, -73.987053)"
Fall 2015,Y A B C  @  Washington Irving,330866,New York,New York,10003,<4,0,0,0,<4,"10003 New
York, NY
(40.7319329999999, -73.988893)"
Fall 2017,International H S - Union Squa,333427,New York,New York,10003,<4,<4,<4,0,0,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2016,International H S - Union Squa,333427,New York,New York,10003,4,<4,<4,0,<4,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2015,International H S - Union Squa,333427,New York,New York,10003,5,<4,4,0,0,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2014,International H S - Union Squa,333427,New York,New York,10003,5,<4,4,0,0,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2017,Academy Software Engineering,333428,New York,New York,10003,24,13,6,4,<4,
Fall 2016,Academy Software Engineering,333428,New York,New York,10003,26,11,9,4,<4,
Fall 2017,Gramercy Arts High School,333638,New York,New York,10003,24,<4,14,<4,7,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2016,Gramercy Arts High School,333638,New York,New York,10003,19,<4,5,4,7,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2015,Gramercy Arts High School,333638,New York,New York,10003,16,<4,8,<4,4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2014,Gramercy Arts High School,333638,New York,New York,10003,15,<4,8,<4,4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2013,Gramercy Arts High School,333638,New York,New York,10003,19,<4,7,4,7,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2012,Gramercy Arts High School,333638,New York,New York,10003,8,<4,<4,<4,5,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2011,Gramercy Arts High School,333638,New York,New York,10003,<4,0,<4,0,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2010,Gramercy Arts High School,333638,New York,New York,10003,5,<4,<4,<4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2017,High School For Language & Dip,333642,New York,New York,10003,15,5,<4,<4,4,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2016,High School For Language & Dip,333642,New York,New York,10003,14,<4,6,<4,<4,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2015,Hs For Language & Diplomacy,333642,New York,New York,10003,12,<4,7,<4,<4,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2014,Hs For Language & Diplomacy,333642,New York,New York,10003,5,0,5,0,0,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2013,Hs For Language & Diplomacy,333642,New York,New York,10003,4,<4,<4,<4,0,"New York 100032305, NY
(40.735620107000045, -73.98748077099998)"
Fall 2016,Friends Seminary,333645,New York,New York,10003,<4,<4,0,0,0,"New York 100033703, NY
(40.734201074000055, -73.98536093399997)"
Fall 2015,Friends Seminary,333645,New York,New York,10003,<4,<4,0,0,0,"New York 100033703, NY
(40.734201074000055, -73.98536093399997)"
Fall 2014,Friends Seminary,333645,New York,New York,10003,<4,<4,0,0,0,"New York 100033703, NY
(40.734201074000055, -73.98536093399997)"
Fall 2013,Friends Seminary,333645,New York,New York,10003,<4,0,<4,<4,0,"New York 100033703, NY
(40.734201074000055, -73.98536093399997)"
Fall 2012,Friends Seminary,333645,New York,New York,10003,<4,0,<4,0,0,"New York 100033703, NY
(40.734201074000055, -73.98536093399997)"
Fall 2010,Friends Seminary,333645,New York,New York,10003,<4,<4,0,0,0,"New York 100033703, NY
(40.734201074000055, -73.98536093399997)"
Fall 2017,Institute For Collaborative Ed,333672,New York,New York,10003,9,<4,7,0,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2016,Institute For Collaborative Ed,333672,New York,New York,10003,14,4,10,0,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2015,Institute For Collaborative Ed,333672,New York,New York,10003,9,<4,4,<4,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2014,Institute For Collaborative Ed,333672,New York,New York,10003,19,5,10,<4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2013,Institute For Collaborative Ed,333672,New York,New York,10003,11,<4,8,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2012,Institute For Collaborative Ed,333672,New York,New York,10003,11,0,9,<4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2011,Institute For Collaborative Ed,333672,New York,New York,10003,8,<4,7,0,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2010,Institute For Collaborative Ed,333672,New York,New York,10003,13,4,8,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2016,Harvey Milk School,333677,New York,New York,10003,<4,0,0,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2015,Harvey Milk School,333677,New York,New York,10003,<4,0,0,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2014,Harvey Milk School,333677,New York,New York,10003,<4,0,0,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2013,Harvey Milk School,333677,New York,New York,10003,<4,0,0,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2012,Harvey Milk School,333677,New York,New York,10003,<4,0,0,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2010,Harvey Milk School,333677,New York,New York,10003,<4,0,0,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2017,La Salle Academy,333730,New York,New York,10003,13,<4,5,0,5,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2016,La Salle Academy,333730,New York,New York,10003,12,<4,4,5,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2015,La Salle Academy,333730,New York,New York,10003,8,4,<4,0,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2014,La Salle Academy,333730,New York,New York,10003,10,7,0,<4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2013,La Salle Academy,333730,New York,New York,10003,5,<4,<4,<4,0,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2012,La Salle Academy,333730,New York,New York,10003,5,<4,0,<4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2011,La Salle Academy,333730,New York,New York,10003,9,4,<4,<4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2010,La Salle Academy,333730,New York,New York,10003,10,<4,<4,4,<4,"New York, NY 10003
(40.731247936000045, -73.98872749399999)"
Fall 2017,Grace Church School,333761,New York,New York,10003,<4,<4,0,0,0,
Fall 2016,Grace Church School,333761,New York,New York,10003,<4,0,<4,0,0,
Fall 2017,Manhattan Comp Night Day H S,333787,New York,New York,10003,8,<4,5,0,<4,"New York 100032704, NY
(40.732550514000025, -73.98470120799993)"
Fall 2016,Manhattan Comp Night Day H S,333787,New York,New York,10003,7,0,<4,<4,4,"New York 100032704, NY
(40.732550514000025, -73.98470120799993)"
Fall 2015,Manhattan Comp Night Day H S,333787,New York,New York,10003,9,4,<4,0,<4,"New York 100032704, NY
(40.732550514000025, -73.98470120799993)"
Fall 2014,Manhattan Comp Night Day H S,333787,New York,New York,10003,10,4,<4,0,4,"New York 100032704, NY
(40.732550514000025, -73.98470120799993)"
Fall 2013,Manhattan Comp Night Day H S,333787,New York,New York,10003,13,9,<4,0,<4,"New York 100032704, NY
(40.732550514000025, -73.98470120799993)"
Fall 2012,Manhattan Comp Night Day H S,333787,New York,New York,10003,9,<4,<4,0,5,"New York 100032704, NY
(40.732550514000025, -73.98470120799993)"
